n_estimators,test-mlogloss-mean,test-mlogloss-std,train-mlogloss-mean,train-mlogloss-std
51,0.6196802,0.005725138090911002,0.5981454,0.0016672964463466202
52,0.6189072,0.005799303523700054,0.596984,0.001545090547508467
53,0.6181762,0.005916947942985479,0.5958808,0.0014607319261246826
54,0.6173938,0.005951561690850561,0.5947808,0.001414179111711102
55,0.6166754,0.006051711050603804,0.5935718,0.0013129404251526504
56,0.6161179999999999,0.006032433174101501,0.5926007999999999,0.0013416740885923235
57,0.6155698000000001,0.005952328263797252,0.5917538,0.0013858628214942425
58,0.6150452,0.006022187024661404,0.5908140000000001,0.0013195018757091535
59,0.6144456,0.006068791497489436,0.5898314,0.001288971931424434
60,0.6138854,0.006120382818092336,0.5889023999999999,0.0012952322726059648
61,0.6134198,0.006124840027298676,0.5880552,0.001353265591079596
62,0.6128744,0.006278688194201039,0.5872062,0.0012725461720503467
63,0.6123556,0.006294838476084966,0.5863601999999999,0.0012721981606652207
64,0.6118112,0.006227777947229639,0.5854446,0.0013148208395062809
65,0.6112364,0.006237455846737534,0.5844538,0.0012010870742789523
66,0.610676,0.006172171643757194,0.5836002,0.0013056107229951555
67,0.610209,0.006017140084791095,0.5827756,0.0013990380409409872
68,0.6097648,0.006048680431300686,0.5819384000000001,0.0014186053150894071
69,0.6093033999999999,0.006028237042452792,0.5811686,0.0014086485154218037
70,0.6089244,0.006043516810599629,0.5804402,0.0013767418639672748
71,0.6085423999999999,0.00609576635379015,0.579589,0.0013292536251596201
72,0.6081102,0.006065441035901696,0.578867,0.0013498699196589341
73,0.6077356,0.0060025732015528055,0.578156,0.0014163356946712991
74,0.6072254,0.006048233613213004,0.5772896000000001,0.0013710677007354572
75,0.6068896,0.006033595100767045,0.5766498,0.0014061447151698268
76,0.606615,0.006000623800906031,0.5759044,0.0015344732777080265
77,0.6061652000000001,0.006090269859374064,0.5751104,0.0014621666936433955
78,0.6059236,0.006121858724276464,0.5744258,0.0014845247589717015
79,0.6054896000000001,0.006158076212584551,0.5737422,0.0014101766414176598
80,0.6051038,0.00610432965689108,0.5730242,0.0014389931758003558
81,0.6047436,0.006212315014549719,0.5723578,0.001401326286059034
82,0.6043186,0.006215025650791791,0.5716736,0.0014188551159297334
83,0.6040854,0.006193717319994509,0.5710531999999999,0.0014634528212415982
84,0.6038321999999999,0.0062415120411643725,0.5704506,0.001388219377476047
85,0.6034213999999999,0.006171723409226938,0.5697429999999999,0.0013977861066701183
86,0.6031736000000001,0.0061826459254917575,0.5691634,0.0013680878041997119
87,0.602881,0.006172531150184659,0.5685208,0.0013828698275687452
88,0.6025582,0.006156164045897419,0.5678732,0.0013072565777229796
89,0.6022488,0.006061975433800428,0.5672102,0.0013930887121788207
